Date,Signal
2013-09-24,BEARISH
2013-10-01,BEARISH
2013-10-08,BEARISH
2013-10-15,BEARISH
2013-12-10,BEARISH
2014-01-07,BEARISH
2015-01-06,BEARISH
2015-05-05,BULLISH
2015-05-12,BULLISH
2015-05-26,BULLISH
2015-06-16,BULLISH
2015-06-23,BULLISH
2015-06-30,BULLISH
2015-07-07,BULLISH
2015-07-14,BULLISH
2015-07-21,BULLISH
2015-07-28,BULLISH
2015-08-04,BULLISH
2015-08-11,BULLISH
2015-08-18,BULLISH
2015-09-01,BULLISH
2015-09-08,BULLISH
2015-09-15,BULLISH
2015-09-22,BULLISH
2015-09-29,BULLISH
2015-10-06,BULLISH
2015-10-13,BULLISH
2015-10-20,BULLISH
2015-10-27,BULLISH
2015-11-03,BULLISH
2015-11-10,BULLISH
2016-02-02,BULLISH
2016-02-16,BULLISH
2016-02-23,BULLISH
2016-03-01,BULLISH
2016-03-08,BULLISH
2016-03-15,BULLISH
2016-03-22,BULLISH
2016-03-29,BULLISH
2018-01-30,BEARISH
2018-02-06,BEARISH
2018-03-27,BEARISH
2018-04-03,BEARISH
2018-04-10,BEARISH
2018-04-24,BEARISH
2018-05-01,BEARISH
2018-05-08,BEARISH
2018-05-15,BEARISH
2018-05-22,BEARISH
2018-05-29,BEARISH
2018-06-05,BEARISH
2018-06-12,BEARISH
2018-09-25,BEARISH
2018-10-09,BEARISH
2018-10-16,BEARISH
2018-10-23,BEARISH
2018-10-30,BEARISH
2018-11-06,BEARISH
2018-11-13,BEARISH
2018-11-20,BEARISH
2018-11-27,BEARISH
2018-12-11,BEARISH
2018-12-18,BEARISH
2018-12-24,BEARISH
2018-12-31,BEARISH
2020-03-31,BULLISH
2020-04-07,BULLISH
2020-04-14,BULLISH
2020-04-21,BULLISH
2020-04-28,BULLISH
2020-05-05,BULLISH
2020-05-12,BULLISH
2020-05-19,BULLISH
2020-05-26,BULLISH
2020-06-02,BULLISH
2020-06-09,BULLISH
2022-01-11,BEARISH
2022-01-18,BEARISH
2022-01-25,BEARISH
2022-02-01,BEARISH
2022-08-02,BULLISH
2022-08-09,BULLISH
2022-08-16,BULLISH
2022-08-23,BULLISH
2022-08-30,BULLISH
2022-09-06,BULLISH
2022-09-13,BULLISH
2022-09-20,BULLISH
2023-03-21,BULLISH
2023-05-02,BULLISH
2023-05-09,BULLISH
2023-05-16,BULLISH
2023-05-23,BULLISH
2023-10-24,BEARISH
2023-10-31,BEARISH
2023-12-05,BEARISH
2024-01-09,BEARISH
2024-04-02,BEARISH
2024-04-09,BEARISH
2024-04-16,BEARISH
2024-04-23,BEARISH
2024-04-30,BEARISH
2024-05-07,BEARISH
2024-05-14,BEARISH
2024-05-21,BEARISH
2024-05-28,BEARISH
2024-06-25,BEARISH
2024-07-02,BEARISH
2024-07-09,BEARISH
2024-07-23,BEARISH
2024-07-30,BEARISH
2024-08-06,BEARISH
2024-10-01,BEARISH
2024-10-08,BEARISH
2024-10-15,BEARISH
2024-10-22,BEARISH
2024-10-29,BEARISH
2024-11-05,BEARISH
2024-11-12,BEARISH
2024-11-19,BEARISH
2024-12-17,BEARISH
2025-02-04,BEARISH
2025-02-25,BEARISH
2025-03-04,BEARISH
2025-03-11,BEARISH
2025-03-18,BEARISH
